"","id","host_id","host_acceptance_rate","host_listings_count","host_verifications","accommodates","bathrooms","beds","minimum_nights","maximum_nights","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_l30d","first_review","review_scores_rating","instant_bookable","calculated_host_listings_count","reviews_per_month","p_host_acceptance_rate","n_days_since","flag_days_since","flag_reviews_per_month","flag_number_of_reviews","flag_review_scores_rating","f_neighbourhood_cleansed","f_property_type","price_daily","ln_price","accommodates2","ln_review_scores_rating","n_days_since2","n_days_since3","n_accommodates2","d_host_is_superhost","d_host_identity_verified","d_host_has_profile_pic","f_bathroom","f_number_of_reviews","f_minimum_nights","tv","heating","wifi","coffee_maker","AC","refrigerator","microwave","hot_water","long_term_stay"
"7095",545483118036915968,200745993,100,1,"['email', 'phone']",3,1,1,3,365,"1",0,0,0,0,"2022-12-30",11,0,"2022-01-30",5,"1",1,0.99,100,334,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",196,5.27811465923052,9,1.6094379124341,111556,37259704,9,"0","1","1","1","1","3",1,1,0,1,0,1,0,0,1
"7096",545513103439054784,132283106,100,1,"['email', 'phone']",2,1,1,2,60,"1",12,20,28,103,"2022-12-30",17,2,"2022-03-06",4.82,"0",1,1.7,100,299,0,0,0,0,"Indre By","Condominium",154,5.03695260241363,4,1.57277392806251,89401,26730899,4,"1","1","1","1","1","2",1,0,1,1,0,1,0,1,1
"7097",54361548,88085551,75,1,"['email', 'phone']",2,1,1,2,365,"1",0,0,0,0,"2022-12-30",5,0,"2022-02-06",5,"0",1,0.46,75,327,0,0,0,0,"Nrrebro","Condominium",196,5.27811465923052,4,1.6094379124341,106929,34965783,4,"0","1","1","1","1","2",1,1,1,0,0,0,0,0,1
"7098",54361716,194831727,100,1,"['email', 'phone']",2,1.5,1,2,365,"1",0,0,0,0,"2022-12-30",8,0,"2022-03-13",5,"1",1,0.82,100,292,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",119,4.77912349311153,4,1.6094379124341,85264,24897088,4,"0","1","1","1","1","2",1,0,0,0,0,1,1,1,1
"7099",54157231,439062776,73,1,"['email', 'phone']",2,1,1,3,14,"1",30,60,90,350,"2022-12-30",15,1,"2022-01-31",4.8,"1",1,1.35,73,333,0,0,0,0,"Frederiksberg","Condominium",168,5.12396397940326,4,1.56861591791385,110889,36926037,4,"1","1","1","1","1","3",1,0,1,1,0,1,1,1,0
"7100",54362993,80069828,100,1,"['email', 'phone']",4,1,2,2,20,"1",25,48,49,106,"2022-12-30",14,0,"2022-02-06",5,"1",1,1.28,100,327,0,0,0,0,"Amager st","Condominium",125,4.8283137373023,16,1.6094379124341,106929,34965783,16,"0","1","1","1","1","2",1,1,1,1,0,1,1,1,0
"7101",54162557,13126408,100,1,"['email', 'phone', 'work_email']",3,1,2,5,14,"1",0,0,0,0,"2022-12-30",8,0,"2022-02-20",5,"0",1,0.76,100,313,0,0,0,0,"Frederiksberg","Condominium",140,4.9416424226093,9,1.6094379124341,97969,30664297,9,"0","1","1","1","1","3",1,0,0,1,0,1,0,0,0
"7102",54365764,441172726,80,1,"['email', 'phone']",4,1,2,3,30,"1",11,40,70,336,"2022-12-30",29,2,"2022-01-31",4.52,"0",1,2.6,80,333,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",158,5.06259503302697,16,1.50851199384414,110889,36926037,16,"0","1","1","1","1","3",1,0,1,0,0,1,0,1,1
"7103",54369938,62165854,84,1,"['email', 'phone']",2,1,1,3,40,"1",14,35,35,35,"2022-12-30",23,1,"2022-02-18",4.87,"0",1,2.18,84,315,0,0,0,0,"Indre By","Entire Unit",107,4.67282883446191,4,1.5830939370945,99225,31255875,4,"1","1","1","1","1","3",1,0,1,0,0,1,0,1,1
"7104",54372532,16953546,100,1,"['email', 'phone']",2,1,2,3,365,"1",0,0,0,0,"2022-12-30",6,0,"2022-02-18",5,"1",1,0.57,100,315,0,0,0,0,"Amager st","Condominium",70,4.24849524204936,4,1.6094379124341,99225,31255875,4,"1","1","1","1","1","3",1,0,1,0,0,0,0,0,1
"7105",5.46120313513e+17,441458273,78,1,"['email', 'phone']",3,1,3,2,365,"1",20,20,28,28,"2022-12-30",6,1,"2022-03-12",4.5,"0",1,0.61,78,293,0,0,0,0,"Amager Vest","Condominium",106,4.66343909411207,9,1.50407739677627,85849,25153757,9,"0","1","1","1","1","2",1,0,1,1,0,1,0,1,1
"7106",54381994,97141981,100,1,"['email', 'phone']",4,1,2,4,365,"1",0,0,0,0,"2022-12-30",1,0,"2022-03-20",5,"0",1,0.1,100,285,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",230,5.4380793089232,16,1.6094379124341,81225,23149125,16,"0","1","1","1","1","3",0,0,1,1,0,1,0,0,1
"7107",54394642,9027642,83,1,"['email', 'phone']",4,1,2,2,365,"1",0,0,0,0,"2022-12-30",11,0,"2022-04-14",5,"0",1,1.26,83,260,0,0,0,0,"Nrrebro","Condominium",176,5.17048399503815,16,1.6094379124341,67600,17576000,16,"0","1","1","1","1","2",1,1,1,0,0,1,0,1,1
"7108",54394878,69669593,100,2,"['email', 'phone']",2,1.5,1,5,365,"1",0,0,0,0,"2022-12-30",3,0,"2022-03-25",5,"0",1,0.32,100,280,0,0,0,0,"Nrrebro","Condominium",97,4.57471097850338,4,1.6094379124341,78400,21952000,4,"0","1","1","1","1","3",1,0,1,0,0,0,0,0,1
"7109",54172743,165651923,45,1,"['email', 'phone']",2,1,1,1,14,"1",28,58,88,356,"2022-12-30",22,1,"2022-01-26",4.68,"0",1,1.95,45,338,0,0,0,0,"Amager st","Condominium",123,4.81218435537242,4,1.54329810992956,114244,38614472,4,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,0
"7110",54395170,32818647,89,1,"['email', 'phone']",2,1,1,2,10,"1",0,0,0,0,"2022-12-30",5,0,"2022-03-20",5,"0",1,0.52,89,285,0,0,0,0,"Amager st","Condominium",98,4.58496747867057,4,1.6094379124341,81225,23149125,4,"0","1","1","1","1","2",0,0,1,1,0,1,1,1,0
"7111",546770072996534336,213937420,92,1,"['email', 'phone']",4,1,2,3,1125,"1",1,11,37,192,"2022-12-30",14,1,"2022-02-13",4.86,"0",1,1.31,92,320,0,0,0,0,"Valby","Condominium",183,5.20948615284142,16,1.5810384379124,102400,32768000,16,"0","0","1","1","1","3",0,0,1,1,0,1,0,1,1
"7112",546833321445468224,27720064,70,1,"['email', 'phone', 'work_email']",5,1,2,6,365,"1",0,0,0,131,"2022-12-30",4,0,"2022-04-22",5,"0",1,0.47,70,252,0,0,0,0,"Indre By","Condominium",252,5.52942908751142,25,1.6094379124341,63504,16003008,25,"0","1","1","1","1","3",1,0,1,0,0,1,0,1,1
"7113",546949034600882944,63246297,50,1,"['email', 'phone']",4,1,1,1,365,"1",20,50,80,170,"2022-12-30",0,0,"",4.89,"1",1,1,50,869,1,0,1,1,"Amager st","Entire Unit",112,4.71849887129509,16,1.58719230348678,755161,656234909,16,"0","0","1","1","0","1",1,0,1,0,0,1,0,1,1
"7114",547103952280826496,15504455,92,1,"['email', 'phone', 'work_email']",4,1,1,3,1125,"1",23,52,79,151,"2022-12-30",15,1,"2022-06-05",4.87,"0",1,2.15,92,208,0,0,0,0,"Nrrebro","Condominium",194,5.26785815906333,16,1.5830939370945,43264,8998912,16,"0","1","1","1","1","3",1,0,1,1,0,1,0,1,1
"7115",54405334,12260383,35,2,"['email', 'phone']",6,1,2,5,365,"1",26,52,52,52,"2022-12-30",5,0,"2022-02-20",5,"0",2,0.48,35,313,0,0,0,0,"Vesterbro-Kongens Enghave","Entire Unit",217,5.37989735354046,36,1.6094379124341,97969,30664297,36,"0","1","1","1","1","3",1,1,0,1,0,1,1,1,1
"7116",54408032,360240731,94,1,"['email', 'phone']",2,1,1,2,365,"1",0,0,0,0,"2022-12-30",11,1,"2022-01-29",4.73,"1",1,0.98,94,335,0,0,0,0,"Bispebjerg","Condominium",105,4.65396035015752,4,1.55392520250384,112225,37595375,4,"1","1","1","1","1","2",0,1,1,1,0,1,1,1,1
"7117",547753703667056896,39456225,100,1,"['email', 'phone']",2,1,2,2,365,"1",5,10,10,14,"2022-12-30",7,0,"2022-03-13",4.86,"1",1,0.72,100,292,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",164,5.0998664278242,4,1.5810384379124,85264,24897088,4,"0","1","1","1","1","2",1,0,1,0,0,0,0,0,1
"7118",54175005,419784516,80,1,"['phone']",4,1,2,4,30,"1",0,0,0,0,"2022-12-30",7,1,"2022-02-18",5,"1",1,0.66,80,315,0,0,0,0,"Frederiksberg","Condominium",98,4.58496747867057,16,1.6094379124341,99225,31255875,16,"0","1","1","1","1","3",1,0,1,0,0,0,0,0,1
"7119",548047697608917504,437864658,100,397,"['email', 'phone']",4,1,3,1,1125,"1",12,26,56,270,"2022-12-30",15,0,"2022-02-10",4.67,"1",71,1.39,100,323,0,0,0,0,"Indre By","Entire Unit",225,5.41610040220442,16,1.54115907168081,104329,33698267,16,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
"7120",548058112004626048,437864658,100,397,"['email', 'phone']",4,1,3,1,1125,"1",11,26,56,294,"2022-12-30",8,1,"2021-12-12",4,"1",71,0.63,100,383,0,0,0,0,"Indre By","Entire Unit",164,5.0998664278242,16,1.38629436111989,146689,56181887,16,"0","1","1","1","1","1",1,1,1,0,0,1,0,1,1
"7121",500568719155129024,6959150,38,2,"['email', 'phone']",3,1,2,3,365,"1",0,8,38,253,"2022-12-30",3,0,"2022-08-12",5,"0",1,0.64,38,140,0,0,0,0,"Bispebjerg","Entire Unit",126,4.83628190695148,9,1.6094379124341,19600,2744000,9,"0","1","1","1","1","3",0,0,1,1,0,1,0,1,1
"7123",504865344274316800,174696892,25,1,"['email', 'phone']",2,1,2,3,14,"1",0,27,57,147,"2022-12-30",2,0,"2022-07-09",4.5,"0",1,0.34,25,174,0,0,0,0,"Nrrebro","Condominium",168,5.12396397940326,4,1.50407739677627,30276,5268024,4,"0","1","1","1","1","3",0,0,1,0,0,0,0,0,0
"7124",548079900042900864,437864658,100,397,"['email', 'phone']",6,1,4,1,1125,"1",15,32,62,297,"2022-12-30",17,1,"2021-08-02",4.65,"1",71,0.99,100,515,0,0,0,0,"Indre By","Entire Unit",215,5.37063802812766,36,1.53686721959926,265225,136590875,36,"0","1","1","1","1","1",1,1,1,0,0,1,0,1,1
"7125",54177016,160628557,0,3,"['email', 'phone', 'work_email']",5,1,3,28,28,"1",30,60,90,365,"2022-12-30",0,0,"",4.89,"1",1,1,0,869,1,0,1,1,"Indre By","Entire Unit",196,5.27811465923052,25,1.58719230348678,755161,656234909,25,"0","1","1","1","0","3",1,0,1,0,0,1,0,0,1
"7126",548084447403147520,437864658,100,397,"['email', 'phone']",6,1,4,1,1125,"1",8,26,40,237,"2022-12-30",20,1,"2022-02-13",4.35,"1",71,1.87,100,320,0,0,0,0,"Indre By","Entire Unit",191,5.25227342804663,36,1.47017584510059,102400,32768000,36,"0","1","1","1","1","1",1,1,1,0,0,1,0,1,1
"7127",509081911757232704,434480470,67,1,"['email', 'phone']",4,1,2,2,13,"1",1,16,16,104,"2022-12-30",7,0,"2022-03-12",4.71,"0",1,0.71,67,293,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",206,5.32787616878958,16,1.54968790802833,85849,25153757,16,"0","1","1","1","1","2",0,0,1,1,0,1,0,1,0
"7128",514892341108988288,354844027,0,1,"['email', 'phone']",2,1,1,3,365,"1",0,27,57,142,"2022-12-30",0,0,"",4.89,"0",1,1,0,869,1,0,1,1,"Vesterbro-Kongens Enghave","Condominium",89,4.48863636973214,4,1.58719230348678,755161,656234909,4,"0","0","1","1","0","3",1,0,1,0,0,1,0,1,1
"7129",517313703585349632,436006842,66,2,"['phone']",2,1,1,1,365,"1",26,56,86,361,"2022-12-30",18,0,"2022-02-20",4.28,"0",2,1.72,66,313,0,0,0,0,"Amager Vest","Condominium",98,4.58496747867057,4,1.45395300959371,97969,30664297,4,"0","1","1","1","1","1",1,0,1,0,0,0,0,0,1
"7130",548126874830859904,437864658,100,397,"['email', 'phone']",6,1,3,1,1125,"1",12,30,52,263,"2022-12-30",11,0,"2021-12-25",4.27,"1",71,0.89,100,370,0,0,0,0,"Indre By","Entire Unit",206,5.32787616878958,36,1.45161382724053,136900,50653000,36,"0","1","1","1","1","1",1,1,1,0,0,1,0,1,1
"7131",54178199,24700301,64,2,"['email', 'phone']",5,1,2,2,1125,"1",0,0,0,0,"2022-12-30",13,0,"2022-02-08",4.54,"0",2,1.2,64,325,0,0,0,0,"Nrrebro","Condominium",169,5.12989871492307,25,1.51292701205326,105625,34328125,25,"0","1","1","1","1","2",0,0,1,1,0,1,0,1,1
"7132",517749511514510592,19492274,85,1,"['email', 'phone', 'work_email']",4,1,2,3,14,"1",0,0,0,1,"2022-12-30",7,0,"2021-12-29",4.86,"0",1,0.57,85,366,0,0,0,0,"Nrrebro","Condominium",97,4.57471097850338,16,1.5810384379124,133956,49027896,16,"0","1","1","1","1","3",0,0,1,1,0,1,0,1,0
"7133",533811716620531200,170886564,100,1,"['email', 'phone']",4,1,2,3,1125,"1",30,60,90,365,"2022-12-30",10,0,"2022-04-10",4.9,"1",1,1.13,100,264,0,0,0,0,"Brnshj-Husum","Condominium",181,5.19849703126583,16,1.58923520511658,69696,18399744,16,"1","1","1","1","1","3",1,0,1,1,0,1,0,1,1
"7134",548160057780104896,19438638,50,4,"['email', 'phone']",2,1,4,2,365,"1",0,7,7,7,"2022-12-30",4,0,"2022-02-06",5,"0",1,0.37,50,327,0,0,0,0,"Frederiksberg","Condominium",140,4.9416424226093,4,1.6094379124341,106929,34965783,4,"0","1","1","1","1","2",1,0,1,1,0,0,0,1,1
"7135",548276873916328128,437864658,100,397,"['email', 'phone']",6,1,3,1,1125,"1",22,52,78,340,"2022-12-30",11,0,"2022-03-09",3.82,"1",71,1.11,100,296,0,0,0,0,"Indre By","Entire Unit",196,5.27811465923052,36,1.34025042261848,87616,25934336,36,"0","1","1","1","1","1",1,1,1,0,0,1,0,1,1
"7136",548399093827070464,439129512,48,1,"['email', 'phone']",2,1,1,7,35,"1",0,0,0,0,"2022-12-30",8,0,"2022-02-13",4.5,"0",1,0.75,48,320,0,0,0,0,"Nrrebro","Condominium",105,4.65396035015752,4,1.50407739677627,102400,32768000,4,"0","1","1","1","1","3",0,1,1,0,0,0,0,0,1
"7137",548440285456425216,437864658,100,397,"['email', 'phone']",6,1,4,1,1125,"1",3,14,27,168,"2022-12-30",20,1,"2019-09-04",4.75,"1",71,0.49,100,1213,0,0,0,0,"Indre By","Entire Unit",257,5.54907608489522,36,1.55814461804655,1471369,1784770597,36,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
"7138",548445945929597120,437864658,100,397,"['email', 'phone']",4,1,2,1,1125,"1",6,18,44,275,"2022-12-30",6,0,"2019-11-17",4.33,"1",71,0.16,100,1139,0,0,0,0,"Indre By","Entire Unit",109,4.69134788222914,16,1.4655675420144,1297321,1477648619,16,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
"7139",548450507728634112,437864658,100,397,"['email', 'phone']",2,1,1,1,1125,"1",0,0,0,106,"2022-12-30",5,0,"2021-10-11",4.2,"1",71,0.34,100,445,0,0,0,0,"Frederiksberg","Entire Unit",134,4.89783979995091,4,1.43508452528932,198025,88121125,4,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
"7140",538818169451418304,415587858,55,1,"['phone']",2,1,1,3,7,"1",28,58,88,88,"2022-12-30",5,0,"2022-04-10",4.2,"1",1,0.57,55,264,0,0,0,0,"Bispebjerg","Condominium",126,4.83628190695148,4,1.43508452528932,69696,18399744,4,"0","1","1","1","1","3",1,0,1,1,0,1,0,1,0
"7141",54204517,26310156,100,1,"['email', 'phone']",4,1,1,2,14,"1",0,27,57,332,"2022-12-30",1,0,"2022-06-18",5,"0",1,0.15,100,195,0,0,0,0,"sterbro","Condominium",140,4.9416424226093,16,1.6094379124341,38025,7414875,16,"0","1","1","1","1","2",1,0,1,1,0,1,0,1,0
"7142",548469225069108032,437864658,100,397,"['email', 'phone']",4,1,2,1,1125,"1",5,11,18,177,"2022-12-30",32,0,"2019-09-09",4.34,"1",71,0.79,100,1208,0,0,0,0,"Indre By","Entire Unit",151,5.01727983681492,16,1.46787434811231,1459264,1762790912,16,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
"7143",54205562,22567855,100,1,"['phone']",4,1,2,4,365,"1",30,60,90,365,"2022-12-30",5,0,"2022-06-05",4.6,"0",1,0.72,100,208,0,0,0,0,"Frederiksberg","Condominium",196,5.27811465923052,16,1.52605630349505,43264,8998912,16,"0","1","1","1","1","3",1,0,1,1,0,0,0,1,1
"7144",548472354852469888,437864658,100,397,"['email', 'phone']",2,1,1,1,1125,"1",6,13,41,296,"2022-12-30",10,2,"2022-01-30",4.1,"1",71,0.9,100,334,0,0,0,0,"Frederiksberg","Entire Unit",84,4.43081679884331,4,1.41098697371026,111556,37259704,4,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
"7145",548475306763081408,437864658,100,397,"['email', 'phone']",4,1,2,1,1125,"1",10,25,55,308,"2022-12-30",13,0,"2020-03-07",3.85,"1",71,0.38,100,1028,0,0,0,0,"sterbro","Entire Unit",118,4.77068462446567,16,1.34807314829969,1056784,1086373952,16,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
"7146",540326184280662848,3303849,56,1,"['email', 'phone']",5,1,3,4,75,"1",0,0,0,212,"2022-12-30",3,0,"2022-02-18",5,"0",1,0.28,56,315,0,0,0,0,"Amager Vest","Condominium",182,5.2040066870768,25,1.6094379124341,99225,31255875,25,"0","1","1","1","1","3",1,0,1,1,0,1,0,1,1
"7147",540526116148617472,440591427,57,1,"['email', 'phone']",2,1,1,2,14,"1",1,3,3,3,"2022-12-30",13,2,"2022-04-24",4.77,"0",1,1.55,57,250,0,0,0,0,"Frederiksberg","Condominium",111,4.70953020131233,4,1.56234630490025,62500,15625000,4,"1","1","1","1","1","2",1,0,1,0,0,0,0,0,0
"7148",54212590,51409895,91,1,"['email', 'phone']",4,1,2,1,1125,"1",0,0,0,0,"2022-12-30",12,0,"2022-03-27",4.83,"0",1,1.29,91,278,0,0,0,0,"sterbro","Condominium",133,4.89034912822175,16,1.57484646766448,77284,21484952,16,"1","1","1","1","1","1",1,0,1,0,0,1,1,1,1
"7149",541854448288396096,32040488,100,2,"['email', 'phone']",4,1,1,4,30,"1",1,1,1,190,"2022-12-30",3,0,"2022-03-06",5,"0",2,0.3,100,299,0,0,0,0,"Indre By","Entire Unit",182,5.2040066870768,16,1.6094379124341,89401,26730899,16,"0","1","1","1","1","3",1,0,1,1,0,1,0,1,1
"7150",541893338699544320,222901833,100,1,"['email', 'phone']",5,1,3,3,365,"1",28,46,59,308,"2022-12-30",12,0,"2022-06-30",4.58,"1",1,1.96,100,183,0,0,0,0,"sterbro","Condominium",196,5.27811465923052,25,1.52169899812609,33489,6128487,25,"0","0","1","1","1","3",1,0,1,0,0,0,0,0,1
"7151",54217988,55894746,79,1,"['email', 'phone']",4,1,2,2,30,"1",27,57,87,352,"2022-12-30",15,3,"2022-03-14",4.73,"0",1,1.54,79,291,0,0,0,0,"Indre By","Entire Unit",210,5.34710753071747,16,1.55392520250384,84681,24642171,16,"0","1","1","1","1","2",1,0,1,0,0,1,0,0,1
"7152",54218845,349140351,0,1,"['email', 'phone']",2,1,1,31,120,"1",19,19,38,226,"2022-12-30",0,0,"",4.89,"0",1,1,0,869,1,0,1,1,"sterbro","Condominium",147,4.99043258677874,4,1.58719230348678,755161,656234909,4,"0","1","1","1","0","3",1,0,1,1,0,1,0,1,1
"7153",54219925,17973089,76,1,"['email', 'phone']",3,1,2,21,1125,"1",0,0,1,153,"2022-12-30",11,0,"2022-02-20",4.73,"0",1,1.05,76,313,0,0,0,0,"Amager st","Entire Unit",140,4.9416424226093,9,1.55392520250384,97969,30664297,9,"1","1","1","1","1","3",0,0,0,1,0,0,0,1,1
"7154",548485473940509248,437864658,100,397,"['email', 'phone']",5,1,3,1,1125,"1",0,0,0,3,"2022-12-30",1,0,"2020-01-03",5,"1",71,0.03,100,1092,0,0,0,0,"Amager Vest","Entire Unit",195,5.27299955856375,25,1.6094379124341,1192464,1302170688,25,"0","1","1","1","1","1",1,1,1,0,0,1,0,1,1
"7155",54220592,18136477,100,1,"['email', 'phone']",2,1,1,3,15,"1",21,51,81,261,"2022-12-30",2,0,"2022-02-04",4,"0",1,0.18,100,329,0,0,0,0,"Nrrebro","Entire Unit",140,4.9416424226093,4,1.38629436111989,108241,35611289,4,"0","1","1","1","1","3",0,0,1,0,0,0,0,0,0
"7156",548491954710921024,437864658,100,397,"['email', 'phone']",4,1,2,1,1125,"1",0,0,0,0,"2022-12-30",14,0,"2020-02-26",3.93,"1",71,0.4,100,1038,0,0,0,0,"Indre By","Entire Unit",109,4.69134788222914,16,1.36863942588117,1077444,1118386872,16,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
"7157",548494865476402304,437864658,100,397,"['email', 'phone']",4,1,2,1,1125,"1",3,7,32,276,"2022-12-30",6,0,"2020-10-17",3.33,"1",71,0.22,100,804,0,0,0,0,"sterbro","Entire Unit",105,4.65396035015752,16,1.20297230399235,646416,519718464,16,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
"7158",541937949212834624,82852926,100,1,"['phone']",4,1,2,4,32,"1",1,1,1,1,"2022-12-30",5,0,"2022-01-25",5,"0",1,0.44,100,339,0,0,0,0,"Indre By","Entire Unit",110,4.70048036579242,16,1.6094379124341,114921,38958219,16,"0","1","1","1","1","3",1,0,1,1,0,0,1,1,1
"7159",542018329221188352,440901784,86,1,"['phone']",2,1,1,2,14,"1",0,0,0,0,"2022-12-30",10,0,"2022-03-07",5,"0",1,1,86,298,0,0,0,0,"Valby","Condominium",119,4.77912349311153,4,1.6094379124341,88804,26463592,4,"1","1","1","1","1","2",1,0,1,1,0,1,1,1,0
"7160",542034607673605952,413491007,96,1,"['email', 'phone']",3,1,3,4,7,"1",0,6,6,24,"2022-12-30",16,0,"2022-02-27",4.75,"0",1,1.56,96,306,0,0,0,0,"Frederiksberg","Condominium",132,4.88280192258637,9,1.55814461804655,93636,28652616,9,"0","1","1","1","1","3",1,0,1,1,0,1,0,0,0
"7161",543105516434727872,186754196,35,1,"['email', 'phone']",2,1,1,2,14,"1",27,57,87,362,"2022-12-30",5,0,"2022-03-13",4.8,"0",1,0.51,35,292,0,0,0,0,"Indre By","Condominium",237,5.46806014113513,4,1.56861591791385,85264,24897088,4,"0","1","1","1","1","2",1,0,1,1,0,1,0,1,0
"7162",54221695,40689575,20,2,"['email', 'phone']",4,1,2,21,40,"1",29,56,61,306,"2022-12-30",0,0,"",4.89,"0",1,1,20,869,1,0,1,1,"Nrrebro","Condominium",217,5.37989735354046,16,1.58719230348678,755161,656234909,16,"0","1","1","1","0","3",1,0,1,0,0,0,0,0,1
"7163",544607236352792960,14024949,82,1,"['email', 'phone']",2,1,1,3,365,"1",24,54,84,153,"2022-12-30",43,2,"2022-02-18",4.91,"0",1,4.08,82,315,0,0,0,0,"Indre By","Condominium",179,5.18738580584075,4,1.59127394180643,99225,31255875,4,"1","1","1","1","1","3",1,0,1,1,0,1,0,1,1
"7164",54221818,79962914,96,1,"['email', 'phone']",4,1,3,2,14,"1",6,10,25,152,"2022-12-30",24,1,"2022-02-11",4.88,"0",1,2.23,96,322,0,0,0,0,"Amager st","Condominium",168,5.12396397940326,16,1.58514521986506,103684,33386248,16,"0","1","1","1","1","2",0,0,1,1,0,1,0,1,0
"7166",549170973787006336,172600051,33,1,"['email', 'phone']",2,1,1,3,365,"1",0,0,0,0,"2022-12-30",1,0,"2022-07-17",5,"0",1,0.18,33,166,0,0,0,0,"Nrrebro","Condominium",113,4.72738781871234,4,1.6094379124341,27556,4574296,4,"0","1","1","1","1","3",1,0,1,0,0,0,1,1,1
"7167",548506992728258176,437864658,100,397,"['email', 'phone']",6,1,3,1,1125,"1",6,21,36,185,"2022-12-30",17,0,"2021-06-18",4.65,"1",71,0.91,100,560,0,0,0,0,"Indre By","Entire Unit",272,5.605802066296,36,1.53686721959926,313600,175616000,36,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
"7168",548513975985575168,437864658,100,397,"['email', 'phone']",3,1,2,1,1125,"1",23,53,83,342,"2022-12-30",3,0,"2022-10-24",3.33,"1",71,1.32,100,67,0,0,0,0,"sterbro","Entire Unit",126,4.83628190695148,9,1.20297230399235,4489,300763,9,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
"7169",548515886028153664,252596843,91,1,"['email', 'phone']",4,1,2,3,14,"1",0,0,0,0,"2022-12-30",8,0,"2022-02-17",4.88,"0",1,0.76,91,316,0,0,0,0,"Nrrebro","Condominium",140,4.9416424226093,16,1.58514521986506,99856,31554496,16,"1","1","1","1","1","3",0,0,1,1,0,1,0,1,0
"7170",549202705665589632,426597003,27,1,"['email', 'phone']",2,1,1,7,32,"1",2,6,6,188,"2022-12-30",3,0,"2022-02-20",5,"0",1,0.29,27,313,0,0,0,0,"Frederiksberg","Entire Unit",204,5.31811999384422,4,1.6094379124341,97969,30664297,4,"0","1","1","1","1","3",1,0,1,0,0,0,0,0,1
"7171",54224387,195782213,50,1,"['email', 'phone']",2,1,1,5,12,"1",0,0,0,0,"2022-12-30",7,0,"2022-04-03",4.43,"0",1,0.77,50,271,0,0,0,0,"Nrrebro","Condominium",84,4.43081679884331,4,1.48839958405704,73441,19902511,4,"0","1","1","1","1","3",1,1,1,0,0,1,1,1,0
"7172",549230425858542080,246463401,70,1,"['email', 'phone']",2,1,1,5,15,"1",0,0,0,0,"2022-12-30",5,0,"2022-03-06",5,"0",1,0.5,70,299,0,0,0,0,"Nrrebro","Condominium",82,4.40671924726425,4,1.6094379124341,89401,26730899,4,"0","1","1","1","1","3",1,0,1,0,0,0,0,0,0
"7173",549681124488823104,124081151,60,1,"['email', 'phone']",2,1,1,3,30,"1",0,0,0,243,"2022-12-30",4,0,"2022-06-12",5,"0",1,0.59,60,201,0,0,0,0,"Vesterbro-Kongens Enghave","Loft",112,4.71849887129509,4,1.6094379124341,40401,8120601,4,"0","0","1","1","1","3",1,0,1,0,0,1,0,0,1
"7174",548574176754248896,53280475,100,1,"['email', 'phone']",5,2,4,4,21,"1",0,0,0,0,"2022-12-30",0,0,"",4.89,"0",1,1,100,869,1,0,1,1,"Indre By","Condominium",420,6.04025471127741,25,1.58719230348678,755161,656234909,25,"0","0","1","2","0","3",1,0,1,0,0,0,0,0,0
"7175",54224774,86678095,100,1,"['email', 'phone']",2,1,1,3,365,"1",16,44,57,73,"2022-12-30",6,0,"2022-03-13",5,"0",1,0.61,100,292,0,0,0,0,"Vesterbro-Kongens Enghave","Condominium",165,5.10594547390058,4,1.6094379124341,85264,24897088,4,"0","1","1","1","1","3",1,0,1,1,0,1,0,1,1
"7176",559096772116834304,319889714,100,1,"['phone']",2,1,1,5,150,"1",0,0,6,37,"2022-12-30",0,0,"",4.89,"0",1,1,100,869,1,0,1,1,"sterbro","Condominium",112,4.71849887129509,4,1.58719230348678,755161,656234909,4,"0","1","1","1","0","3",1,1,1,0,0,1,1,1,1
"7177",548768486217158592,437864658,100,397,"['email', 'phone']",2,1,1,1,1125,"1",8,23,50,290,"2022-12-30",1,1,"2022-12-11",5,"1",71,1,100,19,0,0,0,0,"Indre By","Entire Unit",96,4.56434819146784,4,1.6094379124341,361,6859,4,"0","1","1","1","1","1",1,1,1,0,0,1,1,1,1
